# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
CY43_00010	CY43_00010	AHX75817	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_00015	CY43_00015	AHX75818	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_00020	CY43_00020	AHX75819	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_00045	CY43_00045	AHX75824	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_00050	CY43_00050	AHX75825	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_00060	CY43_00060	AHX75827	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_00065	CY43_00065	AHX75828	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
CY43_00070	CY43_00070	AHX75829	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_00075	CY43_00075	AHX75830	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_00080	CY43_00080	AHX75831	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_00085	CY43_00085	AHX75832	protein_coding	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1
CY43_00090	CY43_00090	AHX75833	protein_coding	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1
CY43_00095	CY43_00095	AHX75834	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_00100	CY43_00100	AHX75835	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_00105	CY43_00105	AHX75836	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_00110	CY43_00110	AHX75837	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_00120	CY43_00120	AHX75839	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_00125	CY43_00125	AHX75840	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_00130	CY43_00130	AHX75841	protein_coding	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0
CY43_00135	CY43_00135	AHX75842	protein_coding	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0
CY43_00140	CY43_00140	AHX75843	protein_coding	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0
CY43_00145	CY43_00145	AHX75844	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
CY43_00150	CY43_00150	AHX75845	protein_coding	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0
CY43_00160	CY43_00160	AHX75846	protein_coding	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1
CY43_00165	CY43_00165	AHX75847	protein_coding	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0
CY43_00170	CY43_00170	AHX75848	protein_coding	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0
CY43_00175	CY43_00175	AHX75849	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_00235	CY43_00235	AHX75861	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_00245	CY43_00245	AHX75863	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_00250	CY43_00250	AHX75864	protein_coding	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CY43_00260	CY43_00260	AHX75866	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_00265	CY43_00265	AHX75867	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_00395	CY43_00395	AHX75891	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_00400	CY43_00400	AHX75892	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_00405	CY43_00405	AHX75893	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_00410	CY43_00410	AHX75894	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_00420	CY43_00420	AHX75895	protein_coding	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1
CY43_00425	CY43_00425	AHX75896	protein_coding	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1
CY43_00455	CY43_00455	AHX75902	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_00460	CY43_00460	AHX75903	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_00550	CY43_00550	AHX75920	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_00555	CY43_00555	AHX75921	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_00560	CY43_00560	AHX75922	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_00570	CY43_00570	AHX75924	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
CY43_00580	CY43_00580	AHX75926	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_00590	CY43_00590	AHX75927	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_00595	CY43_00595	AHX75928	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_00680	CY43_00680	AHX75945	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_00685	CY43_00685	AHX75946	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_00690	CY43_00690	AHX75947	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_00695	CY43_00695	AHX75948	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
CY43_00705	CY43_00705	AHX75950	protein_coding	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0
CY43_00710	CY43_00710	AHX75951	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3
CY43_00715	CY43_00715	AHX75952	protein_coding	0	0	1	2	0	0	0	1	0	0	0	0	0	0	2
CY43_00720	CY43_00720	AHX75953	protein_coding	0	1	0	2	0	1	0	0	0	0	0	0	0	1	1
CY43_00725	CY43_00725	AHX75954	protein_coding	0	0	0	3	0	2	0	0	0	0	0	0	0	0	1
CY43_00730	CY43_00730	AHX75955	protein_coding	0	0	1	2	0	0	0	1	0	0	0	0	0	0	2
CY43_00735	CY43_00735	AHX75956	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3
CY43_00740	CY43_00740	AHX75957	protein_coding	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0
CY43_00745	CY43_00745	AHX75958	protein_coding	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0
CY43_00750	CY43_00750	AHX75959	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_00770	CY43_00770	AHX75963	protein_coding	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0
CY43_00780	CY43_00780	AHX75964	protein_coding	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0
CY43_00785	CY43_00785	AHX75965	protein_coding	0	1	0	2	0	0	0	0	0	0	0	0	0	1	2
CY43_00790	CY43_00790	AHX75966	protein_coding	0	0	1	2	0	1	0	1	0	0	0	0	0	0	1
CY43_00795	CY43_00795	AHX75967	protein_coding	0	0	1	3	0	1	0	1	0	0	0	0	0	0	2
CY43_00800	CY43_00800	AHX75968	protein_coding	0	0	0	4	0	3	0	0	0	0	0	0	0	0	1
CY43_00805	CY43_00805	AHX75969	protein_coding	0	0	0	3	0	1	0	0	0	0	0	0	0	0	2
CY43_00810	CY43_00810	AHX75970	protein_coding	0	0	0	3	0	1	0	0	0	0	0	0	0	0	2
CY43_00815	CY43_00815	AHX75971	protein_coding	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1
CY43_00825	CY43_00825	AHX75973	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_00830	CY43_00830	AHX75974	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_00835	CY43_00835	AHX75975	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_00840	CY43_00840	AHX75976	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_00845	CY43_00845	AHX75977	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_00875	CY43_00875	AHX75983	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_00880	CY43_00880	AHX75984	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_00885	CY43_00885	AHX75985	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_00890	CY43_00890	AHX75986	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_00895	CY43_00895	AHX75987	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_00900	CY43_00900	AHX75988	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_00905	CY43_00905	AHX75989	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_00920	CY43_00920	AHX75992	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_00995	CY43_00995	AHX76006	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_01000	CY43_01000	AHX76007	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_01005	CY43_01005	AHX76008	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_01010	CY43_01010	AHX76009	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_01015	CY43_01015	AHX76010	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_01020	CY43_01020	AHX76011	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
CY43_01025	CY43_01025	AHX76012	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_01030	CY43_01030	AHX76013	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_01035	CY43_01035	AHX76014	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_01040	CY43_01040	AHX76015	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_01045	CY43_01045	AHX76016	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_01050	CY43_01050	AHX76017	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_01175	CY43_01175	AHX76041	protein_coding	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0
CY43_01180	CY43_01180	AHX76042	protein_coding	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0
CY43_01190	CY43_01190	AHX76044	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
CY43_01195	CY43_01195	AHX76045	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
CY43_01200	CY43_01200	AHX76046	protein_coding	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0
